id,female,race,ses,schtyp,prog,read,write,math,science,socst,readcategorical,writecategorical,mathcategorical,sccategorical,socstcategorical
70,male,White,Low,Public,General,57,52,41,47,57,above mean,below mean,below mean,below mean,above mean
121,female,White,Middle,Public,Vocational,68,59,53,63,61,above mean,above mean,above mean,above mean,above mean
86,male,White,High,Public,General,44,33,54,58,31,below mean,below mean,above mean,above mean,below mean
141,male,White,High,Public,Vocational,63,44,47,53,56,above mean,below mean,below mean,above mean,above mean
172,male,White,Middle,Public,Academic,47,52,57,53,61,below mean,below mean,above mean,above mean,above mean
113,male,White,Middle,Public,Academic,44,52,51,63,61,below mean,below mean,below mean,above mean,above mean
50,male,African American,Middle,Public,General,50,59,42,53,61,below mean,above mean,below mean,above mean,above mean
11,male,Hispanic,Middle,Public,Academic,34,46,45,39,36,below mean,below mean,below mean,below mean,below mean
84,male,White,Middle,Public,General,63,57,54,58,51,above mean,above mean,above mean,above mean,below mean
48,male,African American,Middle,Public,Academic,57,55,52,50,51,above mean,above mean,below mean,below mean,below mean
75,male,White,Middle,Public,Vocational,60,46,51,53,61,above mean,below mean,below mean,above mean,above mean
60,male,White,Middle,Public,Academic,57,65,51,63,61,above mean,above mean,below mean,above mean,above mean
95,male,White,High,Public,Academic,73,60,71,61,71,above mean,above mean,above mean,above mean,above mean
104,male,White,High,Public,Academic,54,63,57,55,46,above mean,above mean,above mean,above mean,below mean
38,male,African American,Low,Public,Academic,45,57,50,31,56,below mean,above mean,below mean,below mean,above mean
115,male,White,Low,Public,General,42,49,43,50,56,below mean,below mean,below mean,below mean,above mean
76,male,White,High,Public,Academic,47,52,51,50,56,below mean,below mean,below mean,below mean,above mean
195,male,White,Middle,Private,General,57,57,60,58,56,above mean,above mean,above mean,above mean,above mean
114,male,White,High,Public,Academic,68,65,62,55,61,above mean,above mean,above mean,above mean,above mean
85,male,White,Middle,Public,General,55,39,57,53,46,above mean,below mean,above mean,above mean,below mean
167,male,White,Middle,Public,General,63,49,35,66,41,above mean,below mean,below mean,above mean,below mean
143,male,White,Middle,Public,Vocational,63,63,75,72,66,above mean,above mean,above mean,above mean,above mean
41,male,African American,Middle,Public,Academic,50,40,45,55,56,below mean,below mean,below mean,above mean,above mean
20,male,Hispanic,High,Public,Academic,60,52,57,61,61,above mean,below mean,above mean,above mean,above mean
12,male,Hispanic,Middle,Public,Vocational,37,44,45,39,46,below mean,below mean,below mean,below mean,below mean
53,male,African American,Middle,Public,Vocational,34,37,46,39,31,below mean,below mean,below mean,below mean,below mean
154,male,White,High,Public,Academic,65,65,66,61,66,above mean,above mean,above mean,above mean,above mean
178,male,White,Middle,Private,Vocational,47,57,57,58,46,below mean,above mean,above mean,above mean,below mean
196,male,White,High,Private,Academic,44,38,49,39,46,below mean,below mean,below mean,below mean,below mean
29,male,Asian,Low,Public,General,52,44,49,55,41,below mean,below mean,below mean,above mean,below mean
126,male,White,Middle,Public,General,42,31,57,47,51,below mean,below mean,above mean,below mean,below mean
103,male,White,High,Public,Academic,76,52,64,64,61,above mean,below mean,above mean,above mean,above mean
192,male,White,High,Private,Academic,65,67,63,66,71,above mean,above mean,above mean,above mean,above mean
150,male,White,Middle,Public,Vocational,42,41,57,72,31,below mean,below mean,above mean,above mean,below mean
199,male,White,High,Private,Academic,52,59,50,61,61,below mean,above mean,below mean,above mean,above mean
144,male,White,High,Public,General,60,65,58,61,66,above mean,above mean,above mean,above mean,above mean
200,male,White,Middle,Private,Academic,68,54,75,66,66,above mean,above mean,above mean,above mean,above mean
80,male,White,High,Public,Academic,65,62,68,66,66,above mean,above mean,above mean,above mean,above mean
16,male,Hispanic,Low,Public,Vocational,47,31,44,36,36,below mean,below mean,below mean,below mean,below mean
153,male,White,Middle,Public,Vocational,39,31,40,39,51,below mean,below mean,below mean,below mean,below mean
176,male,White,Middle,Private,Academic,47,47,41,42,51,below mean,below mean,below mean,below mean,below mean
177,male,White,Middle,Private,Academic,55,59,62,58,51,above mean,above mean,above mean,above mean,below mean
168,male,White,Middle,Public,Academic,52,54,57,55,51,below mean,above mean,above mean,above mean,below mean
40,male,African American,Low,Public,General,42,41,43,50,41,below mean,below mean,below mean,below mean,below mean
62,male,White,High,Public,General,65,65,48,63,66,above mean,above mean,below mean,above mean,above mean
169,male,White,Low,Public,General,55,59,63,69,46,above mean,above mean,above mean,above mean,below mean
49,male,African American,High,Public,Vocational,50,40,39,49,47,below mean,below mean,below mean,below mean,below mean
136,male,White,Middle,Public,Academic,65,59,70,63,51,above mean,above mean,above mean,above mean,below mean
189,male,White,Middle,Private,Academic,47,59,63,53,46,below mean,above mean,above mean,above mean,below mean
7,male,Hispanic,Middle,Public,Academic,57,54,59,47,51,above mean,above mean,above mean,below mean,below mean
27,male,Asian,Middle,Public,Academic,53,61,61,57,56,above mean,above mean,above mean,above mean,above mean
128,male,White,High,Public,Academic,39,33,38,47,41,below mean,below mean,below mean,below mean,below mean
21,male,Hispanic,Middle,Public,General,44,44,61,50,46,below mean,below mean,above mean,below mean,below mean
183,male,White,Middle,Private,Academic,63,59,49,55,71,above mean,above mean,below mean,above mean,above mean
132,male,White,Middle,Public,Academic,73,62,73,69,66,above mean,above mean,above mean,above mean,above mean
15,male,Hispanic,High,Public,Vocational,39,39,44,26,42,below mean,below mean,below mean,below mean,below mean
67,male,White,Low,Public,Vocational,37,37,42,33,32,below mean,below mean,below mean,below mean,below mean
22,male,Hispanic,Middle,Public,Vocational,42,39,39,56,46,below mean,below mean,below mean,above mean,below mean
185,male,White,Middle,Private,Academic,63,57,55,58,41,above mean,above mean,above mean,above mean,below mean
9,male,Hispanic,Middle,Public,Vocational,48,49,52,44,51,below mean,below mean,below mean,below mean,below mean
181,male,White,Middle,Private,Academic,50,46,45,58,61,below mean,below mean,below mean,above mean,above mean
170,male,White,High,Public,Academic,47,62,61,69,66,below mean,above mean,above mean,above mean,above mean
134,male,White,Low,Public,General,44,44,39,34,46,below mean,below mean,below mean,below mean,below mean
108,male,White,Middle,Public,General,34,33,41,36,36,below mean,below mean,below mean,below mean,below mean
197,male,White,High,Private,Academic,50,42,50,36,61,below mean,below mean,below mean,below mean,above mean
140,male,White,Middle,Public,Vocational,44,41,40,50,26,below mean,below mean,below mean,below mean,below mean
171,male,White,Middle,Public,Academic,60,54,60,55,66,above mean,above mean,above mean,above mean,above mean
107,male,White,Low,Public,Vocational,47,39,47,42,26,below mean,below mean,below mean,below mean,below mean
81,male,White,Low,Public,Academic,63,43,59,65,44,above mean,below mean,above mean,above mean,below mean
18,male,Hispanic,Middle,Public,Vocational,50,33,49,44,36,below mean,below mean,below mean,below mean,below mean
155,male,White,Middle,Public,General,44,44,46,39,51,below mean,below mean,below mean,below mean,below mean
97,male,White,High,Public,Academic,60,54,58,58,61,above mean,above mean,above mean,above mean,above mean
68,male,White,Middle,Public,Academic,73,67,71,63,66,above mean,above mean,above mean,above mean,above mean
157,male,White,Middle,Public,General,68,59,58,74,66,above mean,above mean,above mean,above mean,above mean
56,male,White,Middle,Public,Vocational,55,45,46,58,51,above mean,below mean,below mean,above mean,below mean
5,male,Hispanic,Low,Public,Academic,47,40,43,45,31,below mean,below mean,below mean,below mean,below mean
159,male,White,High,Public,Academic,55,61,54,49,61,above mean,above mean,above mean,below mean,above mean
123,male,White,High,Public,General,68,59,56,63,66,above mean,above mean,above mean,above mean,above mean
164,male,White,Middle,Public,Vocational,31,36,46,39,46,below mean,below mean,below mean,below mean,below mean
14,male,Hispanic,High,Public,Academic,47,41,54,42,56,below mean,below mean,above mean,below mean,above mean
127,male,White,High,Public,Academic,63,59,57,55,56,above mean,above mean,above mean,above mean,above mean
165,male,White,Low,Public,Vocational,36,49,54,61,36,below mean,below mean,above mean,above mean,below mean
174,male,White,Middle,Private,Academic,68,59,71,66,56,above mean,above mean,above mean,above mean,above mean
3,male,Hispanic,Low,Public,Academic,63,65,48,63,56,above mean,above mean,below mean,above mean,above mean
58,male,White,Middle,Public,Vocational,55,41,40,44,41,above mean,below mean,below mean,below mean,below mean
146,male,White,High,Public,Academic,55,62,64,63,66,above mean,above mean,above mean,above mean,above mean
102,male,White,High,Public,Academic,52,41,51,53,56,below mean,below mean,below mean,above mean,above mean
117,male,White,High,Public,Vocational,34,49,39,42,56,below mean,below mean,below mean,below mean,above mean
133,male,White,Middle,Public,Vocational,50,31,40,34,31,below mean,below mean,below mean,below mean,below mean
94,male,White,High,Public,Academic,55,49,61,61,56,above mean,below mean,above mean,above mean,above mean
24,male,Asian,Middle,Public,Academic,52,62,66,47,46,below mean,above mean,above mean,below mean,below mean
149,male,White,Low,Public,General,63,49,49,66,46,above mean,below mean,below mean,above mean,below mean
82,female,White,High,Public,Academic,68,62,65,69,61,above mean,above mean,above mean,above mean,above mean
8,female,Hispanic,Low,Public,Academic,39,44,52,44,48,below mean,below mean,below mean,below mean,below mean
129,female,White,Low,Public,General,44,44,46,47,51,below mean,below mean,below mean,below mean,below mean
173,female,White,Low,Public,General,50,62,61,63,51,below mean,above mean,above mean,above mean,below mean
57,female,White,Middle,Public,Academic,71,65,72,66,56,above mean,above mean,above mean,above mean,above mean
100,female,White,High,Public,Academic,63,65,71,69,71,above mean,above mean,above mean,above mean,above mean
1,female,Hispanic,Low,Public,Vocational,34,44,40,39,41,below mean,below mean,below mean,below mean,below mean
194,female,White,High,Private,Academic,63,63,69,61,61,above mean,above mean,above mean,above mean,above mean
88,female,White,High,Public,Academic,68,60,64,69,66,above mean,above mean,above mean,above mean,above mean
