,LATE,BILL,TYPE
1,16,79,RESIDENTIAL
2,47,264,RESIDENTIAL
3,22,97,RESIDENTIAL
4,47,289,RESIDENTIAL
5,47,288,RESIDENTIAL
6,21,100,RESIDENTIAL
7,44,250,RESIDENTIAL
8,27,140,RESIDENTIAL
9,19,97,RESIDENTIAL
10,48,299,RESIDENTIAL
11,16,80,RESIDENTIAL
12,50,311,RESIDENTIAL
13,11,46,RESIDENTIAL
14,17,110,RESIDENTIAL
15,25,146,RESIDENTIAL
16,37,201,RESIDENTIAL
17,22,95,RESIDENTIAL
18,38,205,RESIDENTIAL
19,24,150,RESIDENTIAL
20,31,158,RESIDENTIAL
21,51,310,RESIDENTIAL
22,40,197,RESIDENTIAL
23,34,180,RESIDENTIAL
24,30,149,RESIDENTIAL
25,39,211,RESIDENTIAL
26,5,90,RESIDENTIAL
27,11,60,RESIDENTIAL
28,33,187,RESIDENTIAL
29,42,220,RESIDENTIAL
30,15,70,RESIDENTIAL
31,48,273,RESIDENTIAL
32,10,50,RESIDENTIAL
33,29,162,RESIDENTIAL
34,25,153,RESIDENTIAL
35,43,225,RESIDENTIAL
36,42,210,RESIDENTIAL
37,30,154,RESIDENTIAL
38,41,215,RESIDENTIAL
39,49,301,RESIDENTIAL
40,43,240,RESIDENTIAL
41,36,205,RESIDENTIAL
42,6,95,RESIDENTIAL
43,52,302,RESIDENTIAL
44,19,98,RESIDENTIAL
45,26,150,RESIDENTIAL
46,36,179,RESIDENTIAL
47,13,75,RESIDENTIAL
48,35,199,RESIDENTIAL
49,74,150,COMMERCIAL
50,47,289,COMMERCIAL
51,39,310,COMMERCIAL
52,47,299,COMMERCIAL
53,53,240,COMMERCIAL
54,71,179,COMMERCIAL
55,82,90,COMMERCIAL
56,83,95,COMMERCIAL
57,90,50,COMMERCIAL
58,92,80,COMMERCIAL
59,71,158,COMMERCIAL
60,80,110,COMMERCIAL
61,83,95,COMMERCIAL
62,57,220,COMMERCIAL
63,84,100,COMMERCIAL
64,63,211,COMMERCIAL
65,73,149,COMMERCIAL
66,60,205,COMMERCIAL
67,50,302,COMMERCIAL
68,91,70,COMMERCIAL
69,49,250,COMMERCIAL
70,67,201,COMMERCIAL
71,83,97,COMMERCIAL
72,83,98,COMMERCIAL
73,81,97,COMMERCIAL
74,74,153,COMMERCIAL
75,69,150,COMMERCIAL
76,65,146,COMMERCIAL
77,70,154,COMMERCIAL
78,60,197,COMMERCIAL
79,53,273,COMMERCIAL
80,63,205,COMMERCIAL
81,67,199,COMMERCIAL
82,99,60,COMMERCIAL
83,60,210,COMMERCIAL
84,85,75,COMMERCIAL
85,79,140,COMMERCIAL
86,68,187,COMMERCIAL
87,70,162,COMMERCIAL
88,47,311,COMMERCIAL
89,51,264,COMMERCIAL
90,69,180,COMMERCIAL
91,44,301,COMMERCIAL
92,47,288,COMMERCIAL
93,55,225,COMMERCIAL
94,86,79,COMMERCIAL
95,94,46,COMMERCIAL
96,59,215,COMMERCIAL
