Ob,WageNew
1,2.400717126
2,2.593064936
3,1.487931717
4,1.942551239
5,2.036538782
6,2.054744733
7,3.025777036
8,2.564233903
9,2.785074526
10,2.247092543
11,2.5450414
12,2.164326131
13,3.456182998
14,3.038825406
15,3.211980712
16,2.295200634
17,1.622110132
18,2.789069195
19,1.811827277
20,2.275754466
21,2.573534213
22,1.410908038
23,1.209090809
24,2.895875254
25,2.304839164
26,2.833098062
27,1.689748947
28,2.962139947
29,2.833429226
30,2.727497016
31,3.048463935
32,2.660196421
33,1.418487039
34,3.067740994
35,2.933139804
36,3.039079071
37,1.814711607
38,2.866875111
39,2.288523632
40,2.780466568
41,2.929645408
42,2.785243636
43,2.535318316
44,1.247560371
45,2.61225744
46,3.269758374
47,2.390824932
48,1.516509085
49,2.798369504
50,2.34704973
51,1.151259633
52,2.525426121
53,2.765882023
54,2.118010825
55,2.577514564
56,2.942693778
57,1.670387333
58,1.84701566
59,1.83390411
60,3.627194221
61,1.093766678
62,2.621980524
63,1.843288975
64,1.747241902
65,2.986891755
66,1.612894378
67,2.881290709
68,2.468102276
69,2.621895969
70,3.038825406
71,2.936724135
72,2.390909487
73,3.04837938
74,2.871398514
75,2.439102133
76,2.423988854
77,3.27825768
78,2.91036835
79,1.314776411
80,1.054958896
81,3.317750869
82,2.554926537
83,1.381992451
84,2.894839352
85,1.862481478
86,2.808261699
87,2.304416389
88,1.535701589
89,1.302993798
90,2.7217686
91,2.743136229
92,2.717858486
93,2.333670196
94,1.548800061
95,3.049499837
96,2.648329253
97,1.881927647
98,2.237369459
99,2.247092543
100,2.324116222
101,2.487379334
102,2.400717126
103,3.000440399
104,3.183265276
105,2.656727686
106,2.660111866
107,3.039861308
108,3.063661769
109,1.036273723
110,2.606529024
111,2.641088472
112,2.952501418
113,2.843067755
114,2.717604821
115,2.942778333
116,2.981417005
117,2.839183301
118,3.459592839
119,1.353330528
120,2.673745064
121,1.612809823
122,2.321633918
123,2.703781109
124,1.77598838
