school,stread03,stdread02,gainreading,stmath02,stmath03,gainmath,stread02r,stread03r,stmath02r,stmath03r,engf02,enhbf02,encop02,engsp03,enhbsp03,encop03,mathfo2,mathbf02,macopf02,mathf03,mahbs03,macops03,atten02,absent02,atten03,absen03,group,hourlace,daylacer,lacerhoursr
1,33,35.8,-2.8,40.2,34,-6.2,0,0,0,0,1,0,0,1,1,1,2,1,1,2,1,1,180,17,180,20,0,10,5,0
1,38,37.7,0.3,33,32,-1,0,0,0,0,1,0,2,0,0,1,4,2,2,4,2,2,180,7,180,0,0,10,5,0
1,45,29.1,15.9,59.3,48,-11.3,0,0,1,1,3,1,1,3,2,2,3,2,1,3,1,1,180,1,180,2,0,20,10,0
1,60,63.5,-3.5,70.9,55,-15.9,1,1,1,1,4,2,2,4,2,2,4,2,2,4,2,2,180,2,180,0,0,194,97,1
1,67,57.5,9.5,67.7,60,-7.7,1,1,1,1,4,2,2,4,2,2,3,1,2,3,1,2,178,5,180,5,0,112,56,1
1,32,26.3,5.7,37.7,48,10.3,0,0,0,1,4,2,2,3,2,1,2,1,1,1,0,1,180,9,180,19,0,2,1,0
1,64,63.5,0.5,50,48,-2,1,1,0,1, , , ,3,2,2, , , ,1,1,1,180,3,154,14,0,50,25,1
1,76,60.4,15.6,63.5,55,-8.5,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,178,40,180,32,0,28,14,0
1,52,32.3,19.7,37.7,21,-16.7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,180,4,180,12,0,34,17,0
1,60,55.3,4.7,37.7,46,8.3,1,1,0,1,4,2,2,4,2,2,2,2,2,2,2,2,180,4,180,3,0,82,41,1
1,33,45.2,-12.2,35.8,9,-26.8,0,0,0,0,1,0,1,2,1,2,0,0,1,0,0,0,180,6,180,21,0,6,3,0
1,76,58.7,17.3,67.7,69,1.3,1,1,1,1,3,1,2,3,1,1,2,1,2,2,1,2,180,11,180,15,0,44,22,1
1,60,63.5,-3.5,75.8,55,-20.8,1,1,1,1,3,1,1,3,1,1,3,1,1,3,0,1,180,8,180,5,0,60,30,1
1,47,49.5,-2.5,40.2,39,-1.2,1,1,0,0,2,1,1,1,1,1,1,1,0,1,0,1,180,2,180,8,0,68,34,1
1,49,64.9,-15.9,34.4,39,4.6,1,1,0,0,3,1,1,2,1,1,3,1,1,3,1,1,177,9,180,0,0,100,50,1
1,44,38.3,5.7,33,10,-23,0,0,0,0,2,1,2,2,1,2,1,2,2,0,0,1,180,1,180,0,0,144,72,1
1,55,57.5,-2.5,35.1,48,12.9,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,180,8,180,21,0,34,17,0
1,35,25.3,9.7,53.2,34,-19.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,179,23,180,17,0,10,5,0
1,67,66.3,0.7,75.8,57,-18.8,1,1,1,1,4,2,1,4,1,1,3,1,2,3,2,2,180,9,180,9,0,92,46,1
1,34,27.2,6.8,18.9,16,-2.9,0,0,0,0, , , , , , , , , , , , ,180,11,180,15,0,132,66,1
1,47,36.5,10.5,57.5,39,-18.5,0,1,1,0,3,1,2,3,1,1,3,2,1,3,2,1,180,7,180,3,0,6,3,0
1,30,25.3,4.7,35.8,9,-26.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,171,16,180,14,0,10,5,0
1,76,84.6,-8.6,64.9,80,15.1,1,1,1,1,3,2,2,3,1,2,3,0,2,3,0,2,180,15,180,24,0,192,96,1
1,76,84.6,-8.6,67.7,63,-4.7,1,1,1,1,4,2,2,4,2,2,4,2,2,4,2,2,180,17,180,16,0,14,7,0
1,43,45.2,-2.2,54.3,50,-4.3,0,0,1,1,2,1,1,1,0,1,2,2,1,2,2,2,180,3,180,3,0,4,2,0
1,64,64.9,-0.9,63.5,57,-6.5,1,1,1,1,3,2,2,3,1,1,2,1,2,2,0,2,180,11,180,18,0,18,9,0
1,42,24.2,17.8,25.3,1,-24.3,0,0,0,0,2,0,1,2,1,2,1,1,1,0,1,1,180,6,180,11,0,20,10,0
1,43,27.2,15.8,40.2,28,-12.2,0,0,0,0,2,2,2,1,0,1,3,1,1,3,2,2,180,2,180,7,0,50,25,1
1,49,61.7,-12.7,50,51,1,1,1,0,1,3,0,1,4,2,1,3,1,1,2,1,1,180,4,180,5,0,62,31,1
1,43,33.7,9.3,44.7,31,-13.7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,180,7,180,7,0,4,2,0
