edu,edur,race,citizen,usborn,boyorgirl,son,daughter,leadership,lifesatisfaction,discrimination,publicoffice,happywithlife,femaleoffice,femaledisc,femaleleader,censusregion,communitytype,language,gender,age,party,partyln,ideology,milnow,popdensity,standingup,keepgovhonest,compromise,publicsafety,dealsocialissue,representpublic,nationalsecurity,standingupr,keepgovhonestr,compromiser,publicsafetyr,dealsocialissuer,representpublicr,nationalsecurityr
four year college,college,white,US citizen,US born,girl,NA,NA,50,72,52.94,NA,NA,NA,yes,no,midwest,S,English,female,23,Republica,Democrat,NA,NA,high,no difference,NA,women,men,men,no difference,men,NA,NA,women,men,men,NA,men
HS or less,less than college,black,US citizen,US born,either,yes,yes,100,NA,NA,NA,NA,NA,NA,yes,south,U,English,male,49,NA,Do not know,conservative,NA,NA,men,NA,women,men,no difference,NA,NA,men,NA,women,men,NA,NA,NA
graduate,college,white,US citizen,US born,either,yes,no,100,NA,NA,64.29,NA,yes,NA,yes,south,S,English,female,77,Republica,Republican,NA,my spouse is,high,no difference,no difference,women,men,no difference,no difference,men,NA,NA,women,men,NA,NA,men
four year college,college,white,US citizen,US born,either,yes,yes,NA,NA,23.53,100,NA,yes,no,NA,midwest,S,English,female,37,Republica,Do not know,NA,yes both,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,either,yes,yes,50,NA,NA,57.14,NA,yes,NA,no,midwest,R,English,male,69,NA,Do not know,NA,yes both,high,no difference,women,no difference,men,women,no difference,men,NA,women,NA,men,women,NA,men
four year college,college,white,US citizen,US born,either,yes,yes,57.14,56,52.94,57.14,no,yes,yes,no,North East,S,English,female,50,Republica,Do not know,NA,NA,high,no difference,women,no difference,men,women,no difference,men,NA,women,NA,men,women,NA,men
four year college,college,white,US citizen,US born,boy,yes,no,NA,72,64.71,21.43,NA,no,yes,NA,south,S,English,female,20,Democrat,Do not know,conservative,yes both,high,women,men,women,men,women,men,men,women,men,women,men,women,men,men
two year college,less than college,white,US citizen,US born,either,NA,NA,NA,NA,NA,100,NA,yes,NA,NA,south,U,English,male,22,Republica,Do not know,NA,my spouse is,low,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
graduate,college,white,US citizen,US born,boy,yes,no,78.57,72,52.94,100,NA,yes,yes,yes,North East,S,English,male,60,Republica,Do not know,very conservative,my spouse is,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
graduate,college,white,US citizen,US born,either,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,midwest,U,English,female,99,Republica,NA,NA,NA,high,no difference,NA,NA,NA,no difference,NA,NA,NA,NA,NA,NA,NA,NA,NA
four year college,college,NA,US citizen,US born,girl,yes,yes,28.57,67,35.29,50,no,yes,no,no,west,S,English,female,58,Republica,Republican,NA,my spouse is,high,women,women,women,women,women,women,women,women,women,women,women,women,women,women
HS or less,less than college,white,US citizen,US born,NA,yes,no,100,61,17.65,NA,no,NA,no,yes,midwest,S,English,female,60,Republica,Do not know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,either,yes,yes,35.71,NA,NA,NA,NA,NA,NA,no,midwest,R,English,male,74,Republica,NA,NA,my spouse is,NA,men,NA,women,men,women,NA,men,men,NA,women,men,women,NA,men
four year college,college,white,US citizen,US born,either,no,yes,21.43,78,17.65,42.86,yes,NA,no,no,North East,S,English,male,61,Republica,Do not know,NA,my spouse is,low,no difference,women,women,men,women,women,men,NA,women,women,men,women,women,men
HS or less,less than college,white,US citizen,US born,either,NA,NA,NA,NA,35.29,42.86,NA,NA,no,NA,North East,U,English,female,72,Republica,Democrat,NA,yes both,high,women,women,women,men,women,no difference,men,women,women,women,men,women,NA,men
HS or less,less than college,white,US citizen,US born,either,yes,no,NA,100,NA,NA,yes,NA,NA,NA,North East,R,English,male,58,Republica,Do not know,NA,my spouse is,NA,no difference,no difference,NA,NA,no difference,no difference,men,NA,NA,NA,NA,NA,NA,men
four year college,college,white,US citizen,US born,boy,yes,yes,64.29,NA,41.18,78.57,NA,yes,no,NA,west,S,English,female,34,Republica,Do not know,very conservative,yes both,high,no difference,no difference,no difference,no difference,women,no difference,men,NA,NA,NA,NA,women,NA,men
two year college,less than college,white,US citizen,US born,either,NA,NA,NA,67,35.29,85.71,no,yes,no,NA,west,U,English,female,44,Republica,Do not know,very conservative,my spouse is,NA,no difference,women,women,no difference,no difference,no difference,no difference,NA,women,women,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,girl,yes,yes,50,NA,11.76,78.57,NA,yes,no,no,North East,S,English,male,26,Republica,Do not know,conservative,my spouse is,high,women,no difference,no difference,no difference,no difference,no difference,men,women,NA,NA,NA,NA,NA,men
HS or less,less than college,white,US citizen,US born,girl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,west,S,English,female,87,Republica,Democrat,NA,no,NA,NA,women,women,men,women,women,men,NA,women,women,men,women,women,men
two year college,less than college,black,US citizen,US born,girl,NA,NA,100,72,11.76,100,NA,yes,no,yes,south,U,English,male,65,Republica,Do not know,conservative,yes both,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,either,yes,yes,NA,NA,29.41,71.43,NA,yes,no,NA,south,U,English,female,67,Republica,Democrat,NA,my spouse is,high,women,no difference,women,men,no difference,no difference,no difference,women,NA,women,men,NA,NA,NA
HS or less,less than college,white,US citizen,US born,either,no,yes,35.71,NA,41.18,NA,NA,NA,no,no,midwest,S,English,female,81,Republica,NA,NA,no,NA,women,no difference,women,women,women,women,NA,women,NA,women,women,women,women,NA
HS or less,less than college,white,US citizen,US born,boy,yes,no,NA,67,35.29,35.71,no,no,no,NA,midwest,R,English,female,52,NA,Do not know,NA,yes both,high,women,women,women,men,women,women,men,women,women,women,men,women,women,men
two year college,less than college,white,US citizen,US born,boy,yes,yes,NA,NA,58.82,35.71,NA,no,yes,NA,south,U,English,female,77,Republica,Republican,NA,my spouse is,NA,women,women,women,men,women,women,men,women,women,women,men,women,women,men
HS or less,less than college,white,US citizen,US born,either,yes,yes,71.43,78,47.06,64.29,yes,yes,no,yes,midwest,S,English,female,64,Republica,Democrat,NA,yes both,high,no difference,no difference,women,men,no difference,no difference,men,NA,NA,women,men,NA,NA,men
HS or less,less than college,white,US citizen,US born,either,yes,yes,21.43,78,23.53,NA,yes,NA,no,no,south,S,English,male,27,Republica,NA,NA,NA,high,NA,NA,NA,men,women,NA,men,NA,NA,NA,men,women,NA,men
HS or less,less than college,white,US citizen,US born,boy,NA,NA,NA,61,35.29,35.71,no,no,no,NA,south,R,English,male,19,NA,Do not know,NA,my spouse is,NA,no difference,women,women,men,women,men,men,NA,women,women,men,women,men,men
four year college,college,white,US citizen,US born,boy,yes,yes,NA,33,64.71,35.71,no,no,yes,NA,midwest,S,English,female,65,Republica,Democrat,NA,yes both,NA,women,women,women,men,women,women,men,women,women,women,men,women,women,men
graduate,college,black,US citizen,US born,girl,yes,yes,NA,NA,47.06,NA,NA,NA,no,NA,west,U,English,female,99,Republica,Democrat,NA,my spouse is,NA,NA,NA,NA,no difference,no difference,women,men,NA,NA,NA,NA,NA,women,men
two year college,less than college,white,US citizen,US born,NA,yes,yes,78.57,NA,52.94,85.71,NA,yes,yes,yes,west,U,English,female,75,Republica,Democrat,NA,no,NA,no difference,women,women,no difference,no difference,no difference,no difference,NA,women,women,NA,NA,NA,NA
two year college,less than college,NA,US citizen,US born,girl,no,yes,NA,89,5.88,100,yes,yes,no,NA,North East,U,English,male,27,Republica,Democrat,NA,yes both,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,boy,yes,no,NA,61,52.94,14.29,no,no,yes,NA,south,R,English,male,41,Republica,Republican,NA,yes both,high,men,women,women,men,men,men,men,men,women,women,men,men,men,men
four year college,college,white,US citizen,US born,boy,yes,yes,NA,94,41.18,100,yes,yes,no,NA,midwest,R,English,female,64,Republica,Do not know,very conservative,yes both,low,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,Not US born,boy,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,midwest,S,English,female,87,Republica,Do not know,NA,yes both,NA,women,NA,women,men,men,no difference,men,women,NA,women,men,men,NA,men
HS or less,less than college,white,US citizen,US born,girl,NA,NA,35.71,89,58.82,78.57,yes,yes,yes,no,North East,U,English,female,18,Republica,Do not know,conservative,yes both,high,no difference,men,no difference,no difference,no difference,women,no difference,NA,men,NA,NA,NA,women,NA
HS or less,less than college,white,US citizen,US born,girl,no,yes,NA,72,41.18,78.57,NA,yes,no,NA,south,R,English,female,44,Republica,Republican,NA,no,high,no difference,no difference,no difference,men,no difference,women,no difference,NA,NA,NA,men,NA,women,NA
four year college,college,black,US citizen,US born,either,yes,yes,64.29,NA,52.94,85.71,NA,yes,yes,NA,midwest,S,English,female,60,Republica,Republican,NA,my spouse is,NA,no difference,no difference,no difference,no difference,no difference,no difference,men,NA,NA,NA,NA,NA,NA,men
two year college,less than college,Others,US citizen,US born,girl,NA,NA,NA,72,52.94,NA,NA,NA,yes,NA,midwest,S,English,female,28,NA,Do not know,NA,no,NA,women,NA,women,NA,women,NA,NA,women,NA,women,NA,women,NA,NA
HS or less,less than college,white,US citizen,US born,NA,yes,yes,21.43,NA,NA,NA,NA,NA,NA,no,midwest,S,English,female,89,Republica,NA,very conservative,my spouse is,NA,NA,no difference,no difference,NA,women,women,no difference,NA,NA,NA,NA,women,women,NA
graduate,college,white,US citizen,US born,girl,no,yes,NA,94,58.82,28.57,yes,no,yes,NA,south,S,English,female,62,Republica,Republican,NA,my spouse is,high,women,women,women,men,women,men,men,women,women,women,men,women,men,men
HS or less,less than college,white,US citizen,US born,either,NA,NA,NA,NA,64.71,NA,NA,NA,yes,NA,south,U,English,male,30,NA,Do not know,NA,my spouse is,high,no difference,no difference,no difference,no difference,women,NA,men,NA,NA,NA,NA,women,NA,men
